nationality,overall(mean)
Argentina,85.9090909090909
Australia,73.54545454545455
Belgium,85.36363636363636
Brazil,86.81818181818181
Cameroon,77.9090909090909
Canada,73.72727272727273
Costa Rica,72.0
Croatia,81.63636363636364
Denmark,79.9090909090909
Ecuador,76.72727272727273
England,85.54545454545455
France,86.63636363636364
Germany,86.54545454545455
Ghana,76.72727272727273
Iran,72.27272727272727
Japan,76.18181818181819
Korea Republic,72.18181818181819
Mexico,79.81818181818181
Morocco,79.0909090909091
Netherlands,84.0909090909091
New Zealand,70.9090909090909
Peru,74.18181818181819
Poland,80.72727272727273
Portugal,85.0
Saudi Arabia,71.18181818181819
Scotland,78.0909090909091
Senegal,80.36363636363636
Serbia,81.0909090909091
Spain,86.0
Switzerland,80.27272727272727
Tunisia,72.0
Ukraine,77.9090909090909
United Arab Emirates,67.63636363636364
United States,75.9090909090909
Uruguay,82.0909090909091
Wales,76.81818181818181
